MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoCargoLowerBlue,autoCargoLowerFar,autoCargoLowerNear,autoCargoLowerRed,autoCargoPoints,autoCargoTotal,autoCargoUpperBlue,autoCargoUpperFar,autoCargoUpperNear,autoCargoUpperRed,autoPoints,autoTaxiPoints,cargoBonusRankingPoint,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,hangarBonusRankingPoint,matchCargoTotal,quintetAchieved,rp,taxiRobot1,taxiRobot2,taxiRobot3,techFoulCount,teleopCargoLowerBlue,teleopCargoLowerFar,teleopCargoLowerNear,teleopCargoLowerRed,teleopCargoPoints,teleopCargoTotal,teleopCargoUpperBlue,teleopCargoUpperFar,teleopCargoUpperNear,teleopCargoUpperRed,teleopPoints,totalPoints
2022miket_qm40,red,frc5114,frc5460,frc8774,73,40,0,1,0,0,0,26,7,1,1,2,2,32,6,false,21,Traversal,Mid,None,1,0,true,17,true,3,Yes,Yes,Yes,0,0,0,0,0,20,10,4,1,2,3,41,73
2022miket_qm41,blue,frc5260,frc8193,frc1322,32,48,0,0,0,1,0,2,1,0,0,0,0,6,4,false,12,Mid,None,Mid,0,4,false,10,false,0,Yes,Yes,No,0,3,2,2,1,10,9,0,0,1,0,22,32
2022miket_qm41,red,frc494,frc7202,frc5538,48,32,0,0,0,0,0,8,2,1,0,1,0,12,4,true,0,None,None,None,1,0,false,20,false,3,No,Yes,Yes,0,0,0,0,0,36,18,5,4,5,4,36,48
2022miket_qm42,blue,frc3542,frc4994,frc27,95,33,0,0,0,2,0,16,5,1,1,1,0,22,6,true,30,None,Traversal,Traversal,0,0,true,32,true,4,Yes,Yes,Yes,0,4,2,5,0,43,27,2,3,3,8,73,95
2022miket_qm42,red,frc4377,frc7784,frc815,33,95,0,0,0,0,1,2,1,0,0,0,0,6,4,false,12,Mid,Mid,None,0,0,false,10,false,0,Yes,No,Yes,0,0,1,0,2,15,9,2,2,1,1,27,33
2022miket_qm43,blue,frc5114,frc6610,frc1506,42,68,0,1,0,0,0,18,5,0,2,2,0,24,6,false,0,None,None,None,0,0,false,15,true,0,Yes,Yes,Yes,0,0,0,1,1,18,10,3,1,2,2,18,42
2022miket_qm43,red,frc5460,frc5234,frc5641,68,42,0,0,0,3,0,22,7,2,0,0,2,28,6,true,10,High,None,None,0,0,false,28,true,3,Yes,Yes,Yes,0,5,1,3,3,30,21,0,2,4,3,40,68
2022miket_qm44,blue,frc8385,frc8193,frc5561,31,26,0,0,0,0,2,4,2,0,0,0,0,8,4,false,10,Mid,Low,None,0,4,false,7,false,2,No,Yes,Yes,0,0,1,0,0,9,5,1,1,0,2,19,31
2022miket_qm44,red,frc7202,frc6548,frc1322,26,31,0,0,0,0,1,2,1,0,0,0,0,6,4,false,12,Mid,None,Mid,1,0,false,9,false,0,No,Yes,Yes,0,2,2,2,2,8,8,0,0,0,0,20,26
2022miket_qm45,blue,frc5697,frc5166,frc8767,32,52,0,0,0,0,0,0,0,0,0,0,0,6,6,false,12,None,Mid,Mid,0,0,false,7,false,0,Yes,Yes,Yes,0,0,0,0,0,14,7,3,1,1,2,26,32
2022miket_qm45,red,frc2145,frc6067,frc494,52,32,0,0,0,0,1,6,2,1,0,0,0,12,6,false,21,Traversal,Mid,None,0,0,true,13,false,3,Yes,Yes,Yes,0,1,1,0,1,19,11,1,4,1,2,40,52
2022miket_qm46,blue,frc6091,frc3322,frc8774,36,33,0,0,1,0,1,8,3,1,0,0,0,14,6,false,6,None,Mid,None,2,4,false,10,false,2,Yes,Yes,Yes,0,0,0,1,1,12,7,1,2,1,1,18,36
2022miket_qm46,red,frc5247,frc5260,frc5067,33,36,0,1,1,0,0,4,2,0,0,0,0,10,6,false,6,None,Mid,None,1,8,false,11,false,0,Yes,Yes,Yes,0,1,1,0,7,9,9,0,0,0,0,15,33
2022miket_qm47,blue,frc3568,frc7192,frc7784,38,40,0,1,1,0,0,4,2,0,0,0,0,10,6,false,16,Mid,Low,Mid,0,0,true,13,false,1,Yes,Yes,Yes,0,2,4,1,3,12,11,0,0,1,0,28,38
2022miket_qm47,red,frc4998,frc5084,frc1322,40,38,0,0,3,1,0,8,4,0,0,0,0,12,4,false,15,None,Traversal,None,0,0,false,17,false,2,Yes,Yes,No,0,4,4,1,4,13,13,0,0,0,0,28,40
2022miket_qm48,blue,frc27,frc4377,frc6067,78,60,0,1,0,0,1,16,5,1,1,1,0,22,6,true,21,Traversal,None,Mid,0,8,true,25,true,4,Yes,Yes,Yes,0,1,3,8,1,27,20,2,1,2,2,48,78
